('? Karambit | Case Hardened', '856', '2'),
('? Karambit | Case Hardened', '859', '3'),
('? Karambit | Case Hardened', '866', '4'),
('? Karambit | Case Hardened', '868', '1'),
('? Karambit | Case Hardened', '875', '4'),
('? Karambit | Case Hardened', '885', '3'),
('? Karambit | Case Hardened', '887', '4'),
('? Karambit | Case Hardened', '891', '3'),
('? Karambit | Case Hardened', '897', '2'),
('? Karambit | Case Hardened', '913', '4'),
('? Karambit | Case Hardened', '914', '2'),
('? Karambit | Case Hardened', '915', '3'),
('? Karambit | Case Hardened', '916', '4'),
('? Karambit | Case Hardened', '917', '3'),
('? Karambit | Case Hardened', '919', '3'),
('? Karambit | Case Hardened', '924', '4'),
('? Karambit | Case Hardened', '935', '3'),
('? Karambit | Case Hardened', '942', '4'),
('? Karambit | Case Hardened', '953', '4'),
('? Karambit | Case Hardened', '955', '2'),
('? Karambit | Case Hardened', '959', '4'),
('? Karambit | Case Hardened', '961', '3'),
('? Karambit | Case Hardened', '965', '3'),
('? Karambit | Case Hardened', '974', '4'),
('? Karambit | Case Hardened', '975', '4'),
('? Karambit | Case Hardened', '985', '3'),
('? Karambit | Case Hardened', '989', '3'),
('? Bayonet | Case Hardened', '588', '3'),
('? Bayonet | Case Hardened', '179', '1'),
('? Bayonet | Case Hardened', '151', '1'),
('? Bayonet | Case Hardened', '228', '2'),
('? Bayonet | Case Hardened', '387', '2'),
('? Bayonet | Case Hardened', '321', '1'),
('? Bayonet | Case Hardened', '592', '1'),
('? Bayonet | Case Hardened', '555', '1'),
('? Bayonet | Case Hardened', '695', '2'),
('? Bayonet | Case Hardened', '670', '1'),
('? Bayonet | Case Hardened', '661', '1'),
('? Bayonet | Case Hardened', '617', '2'),
('? Bayonet | Case Hardened', '791', '2'),
('? Bayonet | Case Hardened', '760', '2'),
('? Bayonet | Case Hardened', '828', '2'),
('? Bayonet | Case Hardened', '955', '1'),
('? M9 Bayonet | Case Hardened', '58', '1'),
('? M9 Bayonet | Case Hardened', '150', '1'),
('? M9 Bayonet | Case Hardened', '105', '2'),
('? M9 Bayonet | Case Hardened', '239', '2'),
('? M9 Bayonet | Case Hardened', '354', '2'),
('? M9 Bayonet | Case Hardened', '349', '1'),
('? M9 Bayonet | Case Hardened', '417', '1'),
('? M9 Bayonet | Case Hardened', '406', '1'),
('? M9 Bayonet | Case Hardened', '403', '2'),
('? M9 Bayonet | Case Hardened', '585', '2'),
('? M9 Bayonet | Case Hardened', '550', '2'),
('? M9 Bayonet | Case Hardened', '503', '1'),
('? M9 Bayonet | Case Hardened', '679', '2'),
('? M9 Bayonet | Case Hardened', '675', '2'),
('? M9 Bayonet | Case Hardened', '634', '2'),
('? M9 Bayonet | Case Hardened', '601', '1'),
('? M9 Bayonet | Case Hardened', '796', '3'),
('? M9 Bayonet | Case Hardened', '771', '3'),
('? M9 Bayonet | Case Hardened', '715', '2'),
('? M9 Bayonet | Case Hardened', '897', '1'),
('? M9 Bayonet | Case Hardened', '946', '2'),
('? Butterfly Knife | Case Hardened', '182', '1'),
